event_name,event_url,event_summary,full_address,region,presented_by_name,start_date,start_time,end_date,end_time,event_category,price_cents,event_description,Event_City
SF Writing Club,https://lu.ma/2qg6aiy2,"The SF Writing Club is a weekly Sunday morning gathering in Hayes Valley for writers and tech enthusiasts of all levels to connect, write, and share their work in a supportive environment.  Each session blends socializing, intention setting, focused writing time, and reflective sharing.  Perfect for anyone seeking community and focused writing time.",,,SF Writing Club's Calendar,2025-08-10,10:30 PM,"August 10, 2025",11:30 AM,Networking & Community,0,"​Welcome to SF Writing Club!

​​We're a community of writers, technologists, and builders. We convene once a week on Sunday mornings in Hayes Valley to meet cool people & go heads down together to write whatever's on our minds and hearts.

​​We welcome writing in all forms from journaling and personal introspection to technology and science fiction to cultural takes and everything in between.

​​✍️ What to Expect

​​10AM: Arrive at the space by 10AM

​​10:00-10:20AM: Meet cool people!

​​Make some tea & chat ☕

​​10:20-10:30AM: Intros & intention setting

​​We kick off each session with a brief round of intros and set intentions for how we'll spend our time together

​​10:30-11:30AM: Deep writing

​​We go heads down for an hour (🤫🎧)

​​11:30AM: Reflections

​​After 60 minutes, we reconvene to reflect on our writing process together

​​For those in the zone, you're welcome to continue to write

​​📍 Finding the space: Please register to see the exact location! Hope to see you there :)",San Francisco
SF Writing Club,https://lu.ma/otaclgrs,"The SF Writing Club is a weekly Sunday morning gathering in Hayes Valley for writers and tech enthusiasts of all levels to connect, set writing intentions, and enjoy a focused hour of creative writing followed by reflection.  All writing forms are welcome, making it ideal for those seeking community and focused writing time. Registration required to receive the location.",,,SF Writing Club's Calendar,2025-08-17,10:30 PM,"August 17, 2025",11:30 AM,Networking & Community,0,"​Welcome to SF Writing Club!

​​We're a community of writers, technologists, and builders. We convene once a week on Sunday mornings in Hayes Valley to meet cool people & go heads down together to write whatever's on our minds and hearts.

​​We welcome writing in all forms from journaling and personal introspection to technology and science fiction to cultural takes and everything in between.

​​✍️ What to Expect

​​10AM: Arrive at the space by 10AM

​​10:00-10:20AM: Meet cool people!

​​Make some tea & chat ☕

​​10:20-10:30AM: Intros & intention setting

​​We kick off each session with a brief round of intros and set intentions for how we'll spend our time together

​​10:30-11:30AM: Deep writing

​​We go heads down for an hour (🤫🎧)

​​11:30AM: Reflections

​​After 60 minutes, we reconvene to reflect on our writing process together

​​For those in the zone, you're welcome to continue to write

​​📍 Finding the space: Please register to see the exact location! Hope to see you there :)",San Francisco
Humane Tech Hackathon: Vibe Coding for Humanity,https://lu.ma/xuu50974,"The Humane Tech Hackathon in San Francisco focuses on building ethical and human-centered technology, offering participants a chance to collaborate, learn, and create impactful solutions.  This event targets developers, designers, researchers, and anyone passionate about humane tech, with prizes and networking opportunities included.  Sponsors include Windsurf, Pylon, and others.",San Francisco,,FounderCulture,2025-06-28,10:00 PM,"June 28, 2025",6:00 PM,Hackathon,0,"​Join us for a day of innovation, collaboration, and crafting technology that prioritizes human well-being.

​Are you passionate about building a more ethical, equitable, and empowering digital world? Do you believe technology should serve humanity, not the other way around? Then this hackathon is for you!

​What is humane tech?

​Humane tech is a movement focused on designing and building technology that truly supports human life:

​Tech that serves our wellbeing and helps us thrive—not just captures attention.

​Connection that goes deeper than metrics—to self, others, and nature.

​Products that shape how we treat each other—and ourselves—with care.

​Recognition that users are people, not just data points.

​Technology that helps culture heal, not just scale.

​Tech built by people who care—and designed to let them keep caring.

​This hackathon is a chance to:

​Collaborate with like-hearted individuals: Team up with others who share your values.

​Learn new skills: Apply humane tech principles, ethical design, and responsible development. Windsurf has generously offered credits for every vibe coder who attends.

​Build real-world solutions: Work on projects that address pressing issues and contribute to a more humane digital landscape.

​Showcase your work: Present your project to a panel of judges and the broader community.

​Win prizes and recognition: Be rewarded for your creativity and commitment to humane tech.

​Have fun! This will be a great opportunity to learn and network with people passionate about the same things.

​Location: SoMA, SF

​Who should attend?

​Developers

​Designers (UX/UI, Graphic)

​Researchers

​Product Managers

​Ethicists

​Anyone passionate about building a better future with technology!

​Meet our judges:

​Talina Shrotriya, Sr Engineering Manager @ Couchbase

​Nicholas Moy, Head of Research @ Windsurf

​Ashutosh Desai, Founder Coach, ex YC

​Meet our hosts:

​Ajesh Shah, Product, ex Atrium & General Assembly

​Erika Anderson, Co-Founder & CCO @ Storytell.ai

​Sarah Thornton, Autonomy Systems Engineer @ Nuro

​Resources: We've created this open-source repository of humane tech frameworks, which you'll use as a resource during the hackathon. We'll keep adding to it & invite you to do so as well.

​Sign up: Space is limited, so register early! We have space for up to 100 folks.

​Prizes: Windsurf credits, and other prizes.

​Come with project ideas! You'll vote on them together and form teams based on your interests.

​Guidelines: We are committed to creating a welcoming and inclusive environment for all participants. All attendees are expected to adhere to our community guidelines, found here.

​Sponsors: Gratitude to our sponsors, Windsurf, Pylon, UpHonest Capital, Storytell.ai, Toolhouse AI, Thesys and GMI for making this possible.

​Food & drink: We will provide snacks, refreshments, and a nutritious lunch.

​Questions? Email us at socials@buildinghumanetech.com

Looking for a team for the hackathon?
Join our Building Humane Tech Slack workspace to connect with other participants who are also looking for teammates. We’ve set up a dedicated channel just for team formation ahead of the event.

​👉 Fill out this form to join the workspace

We look forward to seeing you there! Let's vibe code our way to a more humane future.

​Learn more https://www.buildinghumanetech.com/

Read Event FAQs and Run of Show for more details.",San Francisco
AI Founders Play Pickleball,https://lu.ma/ynknjxql,"Exclusive pickleball tournament and brunch for early-stage AI founders and investors on June 28th (10 AM-1 PM) fosters networking and relaxation.  Private courts and coaching create a fun, high-value experience.  Ideal for AI entrepreneurs seeking peer connection and rejuvenation.",San Francisco,,12 (scrappy) founders,2025-06-28,10:30 PM,"June 28, 2025",11:30 AM,Networking & Community,0,"​Invite-only pickleball game (+brunch) for early-stage AI founders and investors.

It's time to recharge. And it's great to do it with like-minded folks.

12 founders play pickleball to reset before the week kicks in.

—
Fun-first. Private courts. Personal coaches.

Saturday, June 28:
^ 10-11:30 AM - game
^ 11:30-1pm - brunch",San Francisco
AI Substack Saturday: Essay Writing Hangout,https://lu.ma/03rwv19f,"Join fellow AI enthusiasts this Saturday, June 28th, 2-5pm at Cafe Trieste for a collaborative Substack essay writing session.  Boost your productivity in a supportive, casual co-working environment and finally publish that AI-related piece. Ideal for those procrastinating on writing or seeking community and accountability.","Caffe Trieste, 601 Vallejo St., San Francisco, CA 94133, USA",California,,2025-06-29,2:30 AM,"June 28, 2025",5:00 PM,Networking & Community,0,"​Tired of having half-finished AI essays sitting in your substack drafts list folder? Same.

​Come hang out at Cafe Trieste in North Beach this Saturday (June 28th) from 2-5pm and let's all actually write and publish something on Substack together. Bring your laptop, order some coffee, and let's turn those scattered thoughts into actual posts.

​Whether you've been meaning to write about AI philosophy, the latest models, what you're building, or just your hot takes on where this is all headed - this is your chance to sit down and actually do it. No pressure to write anything groundbreaking, just something real.

​The vibe is casual co-working with a deadline. We'll introduce ourselves at the start, write for most of the time, and hopefully all hit publish by the end. If you get stuck, there will be other people around to bounce ideas off.

​Perfect for anyone who works better with other people around, has been putting off writing, or just wants to meet other folks thinking about AI stuff!",San Francisco
Prompt Engineers Society: Cafe Chill 🍵,https://lu.ma/lyxlmbth,"Join the Prompt Engineers Society on July 1, 2025, for a casual networking event focused on all things AI, from prompt engineering to AGI.  All AI enthusiasts, regardless of coding experience, are welcome to share projects and insights in a relaxed cafe setting.  Perfect for connecting with fellow AI professionals and learning about the latest trends.",San Francisco,,Prompt Engineers Society,2025-07-01,5:00 AM,"June 30, 2025",5:30 PM,Networking & Community,0,"​Interested in vibe coding? Agentic AI? All the AI buzz words?

​Prompt Engineers Society is hosting a cafe chill (sounds fancy) on July 1, 2025!

​Grab a matcha (or not) and join our network of AI enthusiasts to share your experiences with vibe coding, your latest AI side project, and anything AI-related that's on your mind (AGI overlords anyone?).

​We welcome anyone who has an interest in AI, no coding experience required!

​About the Hosts

​Prompt Engineers Society is a community of AI engineers and AI enthusiasts working together to advance the field of prompt engineering. Follow us to get notified of future events and join us on this journey!",San Francisco
Mixture of Experts,https://lu.ma/qkcyp4nw,"Network with AI builders and founders from top startups like Thinking Machines Lab and Latent at ""Mixture of Experts.""  This event is perfect for aspiring AI professionals seeking career opportunities and connections within the industry.  Register at conviction.com/moe to attend future events.",San Francisco,,Conviction,2025-07-01,6:30 AM,"June 30, 2025",8:00 PM,Networking & Community,0,"​come spend some time with other fellow ai builders, meet founders building cool things, and maybe even find your career-making startup!

​hear from the founders of:
- Thinking Machines Lab
- Latent
- Mercor
- Watney
- Yutori

​register to join our list & come to future events here: conviction.com/moe",San Francisco
90/30 Club #9: ML Reading Group,https://lu.ma/fij7ojw6,"The 90/30 Club's ML reading group delved into advanced memory, compression, and representation learning techniques, focusing on seminal papers highlighted by Ilya Sutskever.  This session explored Neural Turing Machines and Variational Lossy Autoencoders, ideal for machine learning enthusiasts aiming to master core concepts.",San Francisco,,90/30 Club,2025-07-01,7:30 AM,"June 30, 2025",9:30 PM,Education & Research,0,"​​​Ilya Sutskever: “If you really learn [these 30 papers], you’ll know 90% of what matters today.""

​Week 9: Memory, Compression & Representation Learning (Part 2)

​​​Neural Turing Machines

​Variational Lossy Autoencoder

​NotebookLM on weekly reading

​Google Drive for sharing Comments

​​​Discussion at 20:00, (optional) quiet reading from 19:00.",San Francisco
AI Agents UI + Eval + Scale | AI Show and Tell,https://lu.ma/1pdeckzl,"The July 1st AI Show & Tell at GitHub HQ features talks on building AI-powered apps, evaluating AI agents, and scaling AI infrastructure, offering insights into generative UI and practical deployment strategies.  Experts from Tambo.co, Arize, and Baseten will share their experiences, followed by a panel Q&A. This in-person event is ideal for AI enthusiasts, professionals, and those interested in the latest advancements in AI technology.","GitHub, 88 Colin P Kelly Jr St, San Francisco, CA 94107, USA",California,AI Show and Tell,2025-07-02,6:30 AM,"July 01, 2025",8:30 PM,Tech & AI,0,"​​Join us on July 1 for our AI Show & Tell monthly event at the GitHub HQ. We'll have several fantastic talks, snacks & drinks, in a beautiful venue. Can't wait to see you there!

​This event is part of Global AI Community, please register there https://globalai.community/chapters/san-francisco/events/ai-show-and-tell-july-1st/

​Agenda

​6 PM: Doors open

​6 - 6:30 PM: Networking, light bites and refreshments

​6:30 - 7:45 PM: Program

​5 min: Intro - Pamela Fox MC, Principal Cloud Advocate @ Microsoft

​15 min: Talk - Michael N Magán @ Tambo.co on building AI powered apps

​15 min: Talk - SallyAnn DeLucia @ Arize on evaluation

​15 min: Talk - Philip Kiely @ Baseten on Inference and training

​25 min: Panel + Q&A - Moderated by Pamela Fox

​7:45 - 8:30 PM: Networking part II

​8:30 PM: Event concludes

​​​🎟 Limited spots available – secure your seat now!

​​AI Show & Tell is a monthly series designed to bring together enthusiasts, professionals, and experts in the field of AI. Each event features engaging presentations, interactive demos, and networking opportunities, providing a place for attendees to learn about the latest advancements in AI technology and connect with like-minded individuals.

​

​Talks

​Philip Kiely @ Baseten - Five things to know about AI infrastructure as you scale

​In 2025, AI-native startups are scaling to 8 figures of annual revenue in months. How do you build infrastructure that keeps up with this explosive growth? This talk provides five sometimes-surprising solutions selected from the hardest challenges we’ve faced while working on scaling fast-growing AI startups.

​Michael N Magan @ Tambo.co - Generative UI in Practice: From Intent to Interface

​Generative UI lets AI assistants surface real UI such as charts, forms, and complete workflows exactly when users need them. This talk shows how it works by treating components as tools: mapping user intent to the right component, binding data, and rendering on the fly. A demo of how we use it internally. I'll close with the main opportunities, and the chief challenges. Attendees leave knowing what generative UI is, why it matters, and how to ship it.

​SallyAnn DeLucia @ Arize - Evaluating Agents in the Wild with Arize

​This talk will demo how Arize supports agent evaluation with a focus on strategy and visibility. I’ll walk through our new Agent View, which aggregates traces, tool use, and reasoning steps into a structured, searchable format—making it easier to debug failures, track performance, and iterate on agent design.

​By registering for this in person event you are agreeing to have your e-mail shared with building security for building access. Your privacy is important to us. This privacy statement explains the personal data Microsoft processes, how Microsoft processes it, and for what purposes. You can view our full privacy statement here: https://www.microsoft.com/en-us/privacy/privacystatement",San Francisco
Festa AI: Stress-Free Wedding Guest Communication,https://lu.ma/9enicspg,"Festa AI streamlines wedding guest communication, eliminating the stress of managing RSVPs, answering repetitive questions, and sending updates.  This AI-powered assistant uses simple text messaging for guests and provides a host dashboard for real-time tracking and insights. Ideal for engaged couples planning their wedding and seeking a stress-free experience.","South Park, San Francisco, CA 94107, USA",California,,2025-07-02,6:30 AM,"July 01, 2025",8:00 PM,Tech & AI,0,"​Note: This is not a real event!

​Planning a wedding? Congrats! Also—sorry. Because now you’ve entered the part where 37 people text you “What time does the ceremony start again?” and Aunt Linda demands parking details in writing. 😅

​Enter Festa AI: your new digital wedding assistant that handles all the guest chaos so you don’t have to. Guests get a dedicated number they can text with questions. They’ll get instant answers (like magic), and you won’t have to copy-paste the same info 20 times.

​💬 Text-in Q&A: Guests can ask anything. Festa answers instantly so your phone doesn’t melt down.

​📢 Text blasts: Need to send an update about a venue change or rain plan? One text reaches everyone.

​📋 RSVP tracking: Festa helps you manage RSVPs in real time—no spreadsheets, no stress.

​🎁 Registry support: More eyeballs on your registry = more gifts and honeymoon fund love. Festa makes it easy to share and remind.

​📊 Guest insights: Wondering how many guests have asked about the shuttle? Festa shows you trends and tracks engagement so you’re never out of the loop.

​🧠 Host dashboard: You can check in anytime to see what guests are asking, who’s replied, and what’s still left to do. It’s like having a wedding co-pilot.

​No app to download. No new logins for guests. Just one text thread that works harder than your group chat ever could.

​Whether your vibe is backyard BBQ or black-tie vineyard soirée, Festa helps make sure your guests are informed, your wedding party is on the same page, and you’re not answering the same question 15 times while trying to enjoy your engagement.

​Fewer fires to put out. More champagne to drink. Let Festa handle the noise—so you can focus on the party.

​Sign up or join the waitlist at: www.usefesta.com/weddings

​Built with love in San Francisco.",San Francisco
AI Floor Bi-Monthly Meetup@Frontier Tower!,https://lu.ma/b7x9o92b,"Network with fellow AI enthusiasts at the bi-monthly AI Floor Meetup at Frontier Tower.  Share projects, collaborate on goals, and help shape the future of the AI community.  Ideal for AI professionals, students, and anyone passionate about artificial intelligence.","Frontier Tower | Berlinhouse, 995 Market St, San Francisco, CA 94103, USA",California,,2025-07-02,7:00 AM,"July 01, 2025",7:30 PM,Networking & Community,0,"​Welcome one, welcome all!

​Join us at Frontier Tower for our bi-monthly AI Floor gathering!

​Come together with the community to share projects, meet new faces, and help shape what’s next for the AI Floor. We’ll open space for people to share their projects, align on goals, and start to co-create.

​Looking forward to seeing you all!",San Francisco
AI Floor Bi-Monthly Meetup@Frontier Tower! - Members +1,https://lu.ma/ai-floor-bi-monthly-meetupfrontier-tower,"Join the bi-monthly AI Floor Meetup at San Francisco's Frontier Tower, a hub for frontier technologies, to network, showcase AI projects, and collaborate with innovators.  This event is ideal for AI professionals and those interested in a self-governed community focused on post-singularity technologies.  Connect with like-minded individuals and shape the future of AI.",San Francisco,,Frontier Tower SF,2025-07-02,7:00 AM,"July 01, 2025",7:30 PM,Networking & Community,0,"​Welcome one, welcome all!

​​Join us at Frontier Tower for our bi-monthly AI Floor gathering!​Come together with the community to share projects, meet new faces, and help shape what’s next for the AI Floor. We’ll open space for people to share their projects, align on goals, and start to co-create.

​​Looking forward to seeing you all!

​This event is hosted at the Frontier Tower:

​We are transforming a 16-floor tower in San Francisco into a self-governed vertical village—a hub for frontier technologies and creative arts. Tier-one labs presenting AI, Ethereum, biotech, neuroscience, longevity, robotics, human flourishing, and arts & music. These floors will house innovators and creators pushing the boundaries of human potential in a post-AI-singularity world.

​Apply here for founding citizenship: https://berlinhouse.com/membership

​Why should I become a citizen?

​Be part of creating the first self-governed vertical village

​Connect with the most creative people in the city

​Get access to all floors, free event space & movement floor

​Website: https://berlinhouse.com/

​Need more reading? Visit https://frontiertower.notion.site/",San Francisco
Prototyping AI Experiences with Play — For Designers and Founders,https://lu.ma/ij7nj7zq,"Designers and founders learn to prototype AI-powered mobile apps using the Play platform in this hands-on workshop, connecting to OpenAI with no coding required.  Networking with AI experts and building your own prototype are key highlights. Pizza provided!",Palo Alto,,,2025-07-03,7:00 AM,"July 02, 2025",8:00 PM,Tech & AI,0,"​Workshop: Prototyping AI Experiences with Play — for Designers and Founders

​Join us for a hands-on workshop where you’ll learn how to prototype AI-driven experiences using Play—a powerful tool for building interactive mobile apps.

​What You’ll Learn

​Networking with AI founders and designers

​Introduction to prototyping AI experiences

​What is multimodal interaction?

​Getting started with Play

​Hands-on session: Build your own AI app prototype connected to OpenAI

​Bring your laptop if you’d like to follow along and get hands-on experience—no coding required!

​Workshop Conducted by

​John Rodrigues

​Senior Product Designer Founder of Human Inspire Studio.

​LinkedIn: https://www.linkedin.com/in/john-rodrigues4/

​Special Guest

​Harcourt Allen

​Product Educator at Play

​LinkedIn: https://www.linkedin.com/in/harcourt-allen/

​🧠 Learn. Build. Connect.

​🍕 Yes, we’ll have pizza too.

​Thanks to our Venue Sponsor

​Beta University｜Help founders build VC-ready companies with proven know-how from the heart of Silicon Valley through an 8-week pre-acceleration program. Apply now!",San Francisco
AI Product Building Workshop @ Stanford,https://lu.ma/rgmuemy7,"Stanford hosted a workshop led by Alex Dang, a seasoned AI expert, focusing on avoiding common pitfalls in AI product development.  Attendees learned practical strategies for building successful AI products, from idea validation to effective storytelling, bypassing seven critical mistakes.  Ideal for startup founders and anyone aiming to launch impactful AI solutions.",Santa Clara County,,Bay Area Founders Club,2025-07-06,6:30 AM,"July 05, 2025",8:00 PM,Startup & Entrepreneurship,16800,"​Building AI Products That Win: Avoid the 7 Mistakes That Kill Your Products

​With Alex Dang – Stanford Alumni, Former Amazon Exec, McKinsey Advisor, and Co-Author of The Venture Mindset 

​🔥 Why This Workshop Matters

​Everyone’s building AI products and services — but most products still fail.
Why? It’s not the tech. It’s the product thinking.

​Join Alex Dang, Silicon Valley strategist and co-author of the global bestseller The Venture Mindset, for a no-fluff, high-impact workshop on what really separates winning AI products from the ones that never ship—or worse, launch and flop.

​You’ll learn the 7 deadly mistakes that kill AI projects—and how to avoid them using the same tools that helped scale ideas at Amazon and drive innovation with Fortune 500s and startups alike.

​This workshop is battle-tested, hands-on, and designed for builders who want to move faster without wasting time on the wrong things.

​🧠 What You’ll Learn

​• How to stress-test clarity and ambition of your idea

​• How to run fast MVP tests (without overbuilding)

​• How to identify and design for edge cases

​• Why simple hacks often beat complex models

​• Why storytelling and demos matter more than feature lists

​• How to reimagine, not just automate

​• And most importantly: how to pick a problem worth solving

​You’ll leave with a framework, tools, and mental models you can apply immediately—whether you’re shipping your first prototype or your tenth investor update.

​👤 Who Should Join

​• Startup founders

​• Anyone ready to stop talking about AI — and start shipping smarter

​📄 What You'll Get

​A proven framework to validate and stress-test your AI product ideas with clarity and ambition

​Templates and examples to improve storytelling, demo strategy, and product thinking instantly

​A certificate of Completion to showcase your skills in AI product building and apply it immediately

​🎙️ About the Speaker

​Alex Dang is a former Amazon and AWS AI product leader, McKinsey Partner, and keynote speaker who launched and scaled numerous new digital products and businesses, and advise some of the world’s most iconic companies. He's the co-author of The Venture Mindset, a global bestseller now translated into multiple languages. He works at the intersection of product strategy, AI, and innovation – with clients from Fortune 500s to startups.

​Watch Alex’s Keynote at Global AI Pitch Summit 2025",San Francisco
Agentic AI & LLMs Bootcamp–Hands-on Workshop,https://lu.ma/zbevxm0m,"This July 6th workshop provided hands-on training in Large Language Models (LLMs) and Agentic AI, covering prompt engineering, building with LLMs and RAG, and deploying a simple RAG use-case.  Aimed at developers, students, researchers, and professionals, the bootcamp featured live coding and real-world project application.  Attendees gained practical skills in cutting-edge generative AI tools.",Palo Alto,,Founder Social Club,2025-07-06,10:30 PM,"July 06, 2025",2:00 PM,Education & Research,3500,"​🔹 Agentic AI & LLMs Bootcamp – Hands-on Workshop

​Date: July 6th
Time: 10:00 AM – 2:00 PM

​🚀 What You’ll Learn

​A 4-hour, hands-on workshop to upskill in Large Language Models (LLMs) and Agentic AI — perfect for developers, students, researchers, and corporate professionals. This session offers real-world applications, live demos, and project-based learning using cutting-edge Gen AI tools.

​🧠 Workshop Agenda (4 Hours)

​1. Introduction to Generative AI & Agentic Systems

​What is Generative AI & Agentic AI

​Real-world use cases and industry trends

​Foundation models overview (GPT, Claude, LLaMA)

​2. Prompt Engineering Fundamentals

​Zero-shot, few-shot, and chain-of-thought prompting

​Role-based and system prompts

​Practical do's & don'ts of crafting prompts

​3. Hands-on Session: Build with LLMs

​Live coding with popular LLMs (OpenAI, Cohere, etc.)

​A/B testing and prompt optimization

​Group exercise: Solve a real-world Gen AI task



​4. Building with RAG & Vector Databases

​Introduction to Retrieval-Augmented Generation (RAG)

​How vector search works with embeddings

​Tools: Pinecone, Chroma, LangChain basics

​Mini-project: Deploy a simple RAG use-case

​🎯 Who Should Attend

​AI/ML Developers & Engineers

​Product Managers & Founders

​Tech Students & Educators

​Corporate Teams & Innovation Leads",San Francisco
👕 Fashion Tech Private Meetup: Virtual Try-On & AI in Fashion,https://lu.ma/q2w6fev5,"This invite-only San Francisco meetup (July 6th, 3-5 PM) connects fashion tech & AI professionals with FASHN AI, a bootstrapped startup showcasing its cutting-edge virtual try-on technology.  Expect high-quality networking, insightful conversations, and food/drinks—ideal for fashion brand reps, developers, and e-commerce entrepreneurs.",San Francisco,,FASHN AI,2025-07-07,3:30 AM,"July 06, 2025",5:00 PM,Networking & Community,0,"​Join us for a chill, invite-only meetup with the FASHN AI team. A profitable, bootstrapped, 3-person startup behind the world’s fastest virtual try-on model, now powering thousands of fashion shops.

​We (Aya and Dan Bochman) are in SF for the first time, and we'd love to meet new people!

Dan built the SOTA virtual try-on model that’s topped try-on leaderboards for over a year. Aya built the web app and API that wraps it into a magical experience, used daily by brands and creators to generate PDP images, style guides, and full lookbooks in seconds.

​Who’s this for?

​If you’re building in fashion tech, AI, or e-commerce, this is your room.

​Whether you’re running a fashion brand, coding a plugin, indie hacking, curious about bootstrapping a company, or have tips to share, you’re welcome here!

We’re keeping it invite-only so it stays high-signal, low-noise, and full of curious, creative builders like you.

​No panels. No sales decks. Just drinks, food, laptops (optional), and good chat. Come make friends and connections!


​📍 SF, exact venue TBD
🗓️ 07/06 | 3-5 PM
👗 Dress code: Wear the outfit you’re most proud of, or anything you want :)
🎟️ 15~ seats available — curated, casual, and high-signal, optimized for high quality conversations.

​🍸 Drinks and food are on us",San Francisco
GenAI Week Volunteer Event July 6th,https://lu.ma/yg889inv,"Become a GenAI Week 2025 volunteer! This info session covers volunteer roles (registration, stage support, etc.), training, and application details.  Enjoy perks like free conference access, networking with AI leaders, and a behind-the-scenes experience—ideal for AI/tech enthusiasts and event organizers.","401 Lambert Ave, Palo Alto, CA 94306, USA",California,,2025-07-07,3:30 AM,"July 06, 2025",5:00 PM,Networking & Community,0,"​你对 AI 与科技会议充满热情吗？想在全球领先的人工智能盛会 GenAI Week 中贡献力量，结识来自世界各地的创始人、专家与企业领袖？

​我们正在招募 GenAI Week 2025 志愿者，并将在本次说明会中介绍志愿者岗位、值班安排、福利待遇，以及现场团队的组织结构。

​✅ 内容包括：

​志愿者职位介绍（签到、舞台协助、嘉宾对接、摄影等）

​培训与工作安排

​报名流程与问答环节

​🎁 参与志愿服务你将获得：

​免费 GenAI Week 大会通票

​官方志愿者证书

​与投资人、创业者、AI 领袖近距离接触的机会

​独一无二的幕后工作体验

​欢迎所有对 AI、科技、活动运营感兴趣的朋友参与！

​Want to get involved in one of the world’s leading AI conferences? Join our GenAI Week 2025 Volunteer Info & Training Session and learn how you can help make it happen!

​✅ What’s covered:

​Overview of volunteer roles (registration, stage operations, speaker assistance, photography, etc.)

​Training and team structure

​How to apply + Q&A

​🎁 Perks for volunteers:

​Free GenAI Week full access pass

​Official volunteer certificate

​Exclusive networking with founders, investors & AI leaders

​Behind-the-scenes experience at a world-class tech event

​Everyone passionate about AI, tech, or event operations is welcome!",San Francisco
Open House - Public,https://lu.ma/open-house-32eb,"Explore San Francisco's Frontier Tower, a 16-floor vertical village dedicated to frontier technologies and creative arts, at this open house.  Learn about becoming a founding citizen and access unique labs & spaces focused on AI, biotech, and more. Ideal for innovators, creators, and anyone interested in a self-governed community.",San Francisco,,Frontier Tower SF,2025-07-08,6:30 AM,"July 07, 2025",8:00 PM,Networking & Community,0,"​​Have you heard about the crazy guys who bought an entire tower to convert it into a vertical village? Yes, that's us.

​​Do you want to walk the 16-floor tower and explore the space? Still on the fence, if you should become a citizen? Do you have questions about how you can get involved and co-create? Wanna hear updates on what happened in the last 2 weeks? This event is for you! 👩‍🚀​___________________________________________​About us:​​We are transforming a 16-floor tower in the heart of San Francisco into a self-governed vertical village—a hub for frontier technologies and creative arts. 8 themed floors will be dedicated to creating tier-one labs, spanning AI, Ethereum, biotech, neuroscience, longevity, robotics, human flourishing, and arts & music. These floors will house innovators and creators pushing the boundaries of human potential in a post-AI-singularity world.

​Apply here for founding citizenship: https://berlinhouse.com/membership​​Why should I become a citizen?​​Be part of creating the first self-governed vertical village​​Connect with the most creative people in the city​​Get access to all floors, free event space & movement floor​​Website: https://berlinhouse.com​​Need more reading? Visit https://frontiertower.notion.site

​This event is hosted at the Frontier Tower:

​We are transforming a 16-floor tower in San Francisco into a self-governed vertical village—a hub for frontier technologies and creative arts. Tier-one labs presenting AI, Ethereum, biotech, neuroscience, longevity, robotics, human flourishing, and arts & music. These floors will house innovators and creators pushing the boundaries of human potential in a post-AI-singularity world.

​Apply here for founding citizenship: https://berlinhouse.com/membership

​Why should I become a citizen?

​Be part of creating the first self-governed vertical village

​Connect with the most creative people in the city

​Get access to all floors, free event space & movement floor

​Website: https://berlinhouse.com/

​Need more reading? Visit https://frontiertower.notion.site/",San Francisco
Exa x AWS - High performance engineering,https://lu.ma/5nueyqtb,"This engineers-only happy hour explores building high-performance, low-latency systems for AI, featuring a fireside chat with industry leaders from Exa, Modal, LanceDB, and AWS.  Attendees will gain insights into optimizing LLM inference and high-performance databases, ideal for those passionate about scalable systems and Rust.  Limited spots available.","AWS Builder Loft, 525 Market St, San Francisco, CA 94105, USA",California,,2025-07-10,6:30 AM,"July 09, 2025",8:30 PM,Tech & AI,0,"​Every bit counts - A High-Performance Engineering Happy Hour


​Join us as we crack open cold ones and bring hot takes on how to build low latency, high reliability systems for AI products. This is an engineers-only event, spots are limited.

​

​Agenda:

​
6:00-6:30pm - Welcome snacks & drinks

6:30-7:15 - Fireside Chat - ""Every Bit Counts"", featuring:
- Will Bryk, Co-Founder & CEO of Exa
- Charles Frye, Head of Developer Relations, Modal
- Chang She, Co-Founder and CEO, LanceDB
- Ashwin Sanjay Aher, Solutions Architecture S3 Team at AWS
- Rohit Talluri, Gen AI Team at AWS

7:15-7:45 - Deep dive with Shreyas Sreenevas (aka the mind behind Exa's infrastructure)

7:45-8:30 - Pizza, drinks and mingling

​

​Who is this event for?

​This is an engineers-only event for those interested in optimizing LLM inference, high accuracy (& high performance) databases, massive kubernetes infrastructure, Rust fans, and more. Aka, you like fast, scalable, high performing systems. Just like us ;)",San Francisco
