event_name,event_url,event_summary,full_address,region,presented_by_name,start_date,start_time,end_date,end_time,event_category
Turn your Codex agents into a production-grade coding team with a cloud backend,https://lu.ma/xpander-ai-workshop,"This workshop teaches developers how to deploy and manage open-source coding agents (like Codex) on a cloud backend using xpander.ai, enabling scalable, collaborative agent workflows.  Participants will learn to build production-ready agent teams with features like persistent memory, event triggers, and multi-agent orchestration.  Ideal for AI agent builders, developers seeking to accelerate workflows, and AI platform engineers.","San Francisco, CA, USA",California,xpander.ai,"June 30, 2025",5:00 PM,"June 30, 2025",8:30 PM,Tech & AI
AI For Designers #26,https://lu.ma/ai-for-designers-25,"AI For Designers #26 showcased the latest AI design tools and innovations through talks by industry leaders Chimere David Ogudu, Dave Elving, and Shipra Kayan.  This monthly event is perfect for designers wanting to learn about AI's impact on creative workflows and network with peers.  Topics included AI comic creation, design strategy, and accelerated prototyping.","972 Mission St, San Francisco, CA 94103, USA",California,AI User Group,"July 02, 2025",6:00 PM,"July 02, 2025",8:00 PM,Tech & AI
Happy Hour & Networking Mixer,https://lu.ma/q8fumqry,"Join fellow Web3 and AI builders for a relaxed networking happy hour on July 10th at 5 PM, featuring drinks and refreshments.  Showcase your work or simply connect with the community—all are welcome!  RSVP to this monthly event (first Thursday, with exceptions).","Edge & Node House of Web3, Building 103, 103 Montgomery St, San Francisco, CA 94129, USA",California,,"July 10, 2025",5:00 PM,"July 10, 2025",7:00 PM,Networking & Community
Building Custom GenAI Models: From Training to Deployment,https://lu.ma/h96t43id,"This July 11th San Francisco workshop provides hands-on training in building custom GenAI models using Amazon SageMaker, covering fine-tuning, deployment strategies, and building AI agents.  Attendees will gain practical experience with techniques like LoRA and QLoRA, ideal for AI practitioners and developers.  Limited seats available – register now!","AWS Builder Loft, 525 Market St, San Francisco, CA 94105, USA",California,,"July 11, 2025",4:30 PM,"July 11, 2025",8:00 PM,Tech & AI
Mentra Live Hackathon,https://lu.ma/jpjpjyta,"The Mentra Live Hackathon at Y Combinator HQ offers 100 developers exclusive early access to pre-release smart glasses and its SDK to build groundbreaking AR/AI apps.  This event boasts expert support, prizes, and meals, targeting talented hackers and developers eager to shape the future of wearable AI.  Apply now for a chance to innovate with cutting-edge technology!","Y Combinator, 560 20th St, San Francisco, CA 94107, USA",California,Mentra,"July 12, 2025",10:00 AM,"July 13, 2025",8:00 PM,Hackathon
"AI Infra Night with AWS, SkyPilot, Anyscale & Fireworks AI",https://lu.ma/9xw8zqjj,"Learn to build robust cloud infrastructure for AI workloads at this San Francisco event featuring AWS, SkyPilot, Anyscale, and Fireworks AI.  Presentations, demos, and networking with experts will cover key cloud computing solutions for AI.  Mandatory government-issued ID required for entry;  ideal for AI professionals and developers.","AWS GenAI Loft, 525 Market St, San Francisco, CA 94105, USA",California,,"July 14, 2025",5:30 PM,"July 14, 2025",8:00 PM,Tech & AI
"Hello, Self-Writing Internet",https://lu.ma/hello-swi,"The ""Hello, Self-Writing Internet"" event showcases Caffeine, a revolutionary AI tech stack enabling human-AI collaboration through conversation.  This San Francisco event (livestreamed globally, July 15th) features demos, panels, a hackathon for technical & non-technical participants, and networking opportunities for AI enthusiasts, developers, and investors.  Experience the future of AI firsthand!","Dogpatch Studios, 991 Tennessee St, San Francisco, CA 94107, USA",California,,"July 15, 2025",10:00 AM,"July 15, 2025",10:00 PM,Other
The Agentic Browser Summit,https://lu.ma/eqxs5f15,,"Shack15, 1, Ferry Building, Suite 201, San Francisco, CA 94111, USA",California,Hyperspace,"July 15, 2025",5:00 PM,"July 15, 2025",9:00 PM,Other
AI Workshops at Cloudflare,https://lu.ma/cloudflare-07-17-2025,,"Cloudflare, 101 Townsend St, San Francisco, CA 94107, USA",California,[SF] Bay Area Builders,"July 17, 2025",5:00 PM,"July 17, 2025",8:00 PM,Other
SF Ruby AI Hackathon,https://lu.ma/znhcct7v,,"Sentry, 45 Fremont St, San Francisco, CA 94105, USA",California,SF Bay Area Ruby Meetup,"July 19, 2025",10:00 AM,"July 19, 2025",5:00 PM,Hackathon
SF Awesome AI Dev Tools - July,https://lu.ma/x5v9zmo6,"This July's SF event showcased cutting-edge AI developer tools from companies like FriendliAI and Databricks, offering demos and networking.  The event targeted developers interested in learning about and applying the latest AI advancements.  Attendees gained insights into impactful AI tools and their real-world applications.","GitHub, 88 Colin P Kelly Jr St, San Francisco, CA 94107, USA",California,Open Source for AI,"July 21, 2025",5:00 PM,"July 21, 2025",8:00 PM,Tech & AI
Reimagining Retail: Edge AI in Action,https://lu.ma/okp9zp24,"The Edge AI Foundation's inaugural retail invitational explores how edge AI is revolutionizing the shopping experience, from hyper-personalized recommendations to immersive AR/VR.  This event unites retail leaders, tech innovators, and investors to foster collaboration and accelerate real-world edge AI adoption.  Attendees will network, share insights, and discover cutting-edge solutions.","Capgemini San Francisco, 1011 3rd St Suite 300, San Francisco, CA 94158, USA",California,,"July 24, 2025",8:00 AM,"July 24, 2025",4:00 PM,Tech & AI
Next Protest at OpenAI,https://lu.ma/rxyplaok,"A protest demands the immediate shutdown of OpenAI, citing existential risks posed by the company's pursuit of Artificial General Intelligence (AGI).  Experts' alarming predictions of human extinction fuel this call for government intervention to halt AGI development.  This event targets those concerned about the potential dangers of advanced AI.","1455 3rd St, San Francisco, CA 94158, USA",California,Stop AI Events,"July 25, 2025",4:30 PM,"July 25, 2025",6:30 PM,Tech & AI
"Infrastructure & Agentic Workflows with C-suite from MongoDB, Databricks, AppsFlyer and more",https://lu.ma/0skcyikj,"This EntreConnect event explores infrastructure and agentic workflows in tech, featuring C-suite speakers from MongoDB, Databricks, AppsFlyer, and more.  Attendees will gain insights from experienced leaders at top companies, ideal for entrepreneurs, investors, and business leaders seeking to scale their ventures.  Early access is available via signup.","AWS GenAI Loft, 525 Market St, San Francisco, CA 94105, USA",California,EntreConnect,"July 30, 2025",5:00 PM,"July 30, 2025",8:00 PM,Networking & Community
Ensuring Accurate AI Agent Paths through Tracing and Evaluation,https://lu.ma/ftud63r1,This Arize AI event focuses on ensuring the accuracy of AI agent paths through advanced tracing and evaluation techniques.  It's ideal for AI developers and engineers seeking to improve the reliability and predictability of their generative AI models.  Learn practical methods to build more robust and accurate AI systems.,"AWS Builder Loft, 525 Market St, San Francisco, CA 94105, USA",California,Arize AI,"August 05, 2025",5:30 PM,"August 05, 2025",9:00 PM,Tech & AI
Unstructured Data Workshop SF,https://lu.ma/kssg818g,"The Aug 5th Unstructured Data Workshop in SF (registration required) explores connecting unstructured data with generative LLMs via three expert talks.  Enjoy networking, refreshments, and post-presentation office hours with Zilliz (Milvus maintainers).  Ideal for anyone interested in generative AI applications and unstructured data.","GitHub, 88 Colin P Kelly Jr St, San Francisco, CA 94107, USA",California,Unstructured Data Meetup,"August 05, 2025",5:30 PM,"August 05, 2025",8:30 PM,Tech & AI
AI Workshops at Cloudflare,https://lu.ma/hp8awcac,"Learn cutting-edge AI tools and techniques at Cloudflare's workshops, hosted by SF Bay Area Builders.  This event is perfect for builders and tech enthusiasts eager to implement new AI technologies and network with peers.  Expect engaging presentations and hands-on learning opportunities.","Cloudflare, 101 Townsend St, San Francisco, CA 94107, USA",California,[SF] Bay Area Builders,"August 12, 2025",6:00 PM,"August 12, 2025",9:00 PM,Tech & AI
SF Awesome AI Dev Tools - August,https://lu.ma/el3dt44a,"Discover cutting-edge AI developer tools at the SF Awesome AI Dev Tools August event.  This networking event features presentations from experts like Nyah Macklin (Neo4j) and live demos, ideal for developers and anyone interested in leveraging AI.  Don't miss this opportunity to learn about the latest innovations and connect with the community.","GitHub, 88 Colin P Kelly Jr St, San Francisco, CA 94107, USA",California,Open Source for AI,"August 18, 2025",5:00 PM,"August 18, 2025",8:00 PM,Tech & AI
Step SF 2025: The AI & Tech Startup Festival,https://lu.ma/StepSF25,"Step SF 2025 (August 20-21) is a Silicon Valley tech festival focused on AI, deep tech, and global scaling, bringing together 2,000+ attendees including founders, investors, and innovators.  Expect insightful talks, a startup showcase with investor meetings, and a vibrant networking atmosphere.  Ideal for those seeking funding, partnerships, or exposure in the rapidly evolving tech landscape.","1 Beach St, San Francisco, CA 94133, USA",California,,"August 20, 2025",9:00 AM,"August 20, 2025",5:00 PM,Startup & Entrepreneurship
AI Workshops at Cloudflare,https://lu.ma/cddoap4f,"Learn cutting-edge AI tools and techniques at Cloudflare's workshops, hosted by SF Bay Area Builders.  This event is perfect for builders and developers eager to implement AI in their projects and network with peers.  Expect expert speakers and hands-on learning opportunities.","Cloudflare, 101 Townsend St, San Francisco, CA 94107, USA",California,[SF] Bay Area Builders,"September 17, 2025",6:00 PM,"September 17, 2025",9:00 PM,Tech & AI
SF Awesome AI Dev Tools - September,https://lu.ma/eu1z0c6s,"Explore cutting-edge AI development tools at this San Francisco event, perfect for developers and enthusiasts.  The September gathering features demos and presentations on the latest advancements in AI tech.  Networking opportunities ensure valuable connections within the AI community.","GitHub, 88 Colin P Kelly Jr St, San Francisco, CA 94107, USA",California,Open Source for AI,"September 22, 2025",5:00 PM,"September 22, 2025",8:00 PM,Tech & AI
[SF] AI After Hours w/ Encord @ GitHub HQ,https://lu.ma/yc2vg83i,"Network with fellow AI enthusiasts and learn from industry experts at this San Francisco AI After Hours event, hosted by Encord at GitHub HQ.  Enjoy lightning talks focused on AI data management and application, perfect for AI professionals and enthusiasts. Pizza and networking opportunities included!","GitHub, 88 Colin P Kelly Jr St, San Francisco, CA 94107, USA",California,Artificially Intelligent,"September 24, 2025",5:30 PM,"September 24, 2025",8:30 PM,Tech & AI
Statsig's Annual Conference: Sigsum,https://lu.ma/nn5nutj8,"Statsig's Sigsum conference in San Francisco focuses on smarter growth through experimentation, AI, and product growth.  The event features keynotes, fireside chats with industry leaders, and breakout sessions covering A/B testing, AI scaling, and LLM optimization.  Ideal for product managers, data scientists, and anyone seeking to leverage data-driven insights for business growth.","Convene, 100 Stockton St, San Francisco, CA 94108, USA",California,Statsig Event Calendar,"September 25, 2025",9:00 AM,"September 25, 2025",5:00 PM,Tech & AI
Flower AI Day 2025,https://lu.ma/446t20pc,"Flower AI Day 2025 in San Francisco will be the largest federated AI conference, showcasing groundbreaking demos and expert panels on decentralized intelligence, including federated learning and privacy-preserving AI.  This event is ideal for AI professionals, researchers, and anyone interested in the future of open-source AI.","Shack15, 1, Ferry Building, Suite 201, San Francisco, CA 94111, USA",California,Flower Labs,"September 25, 2025",3:00 PM,"September 25, 2025",10:00 PM,Tech & AI
NEXT.BIO Conference 2025,https://lu.ma/wuqccdje,"NEXT.BIO Conference 2025, part of SF Tech Week, unites top AI/biotech startups, leaders, and investors.  The event showcases cutting-edge innovations tackling global challenges like disease and climate change, ideal for investors, entrepreneurs, and those in the techbio field.  Expect world-class presentations and networking opportunities.","San Francisco, CA, USA",California,Next Sequence Global Events,"October 06, 2025",9:00 AM,"October 06, 2025",6:00 PM,Startup & Entrepreneurship
[SF] AI After Hours w/ Encord @ GitHub HQ,https://lu.ma/ka1drbg1,"Network with fellow AI enthusiasts and learn from industry experts at GitHub HQ's ""AI After Hours"" event, featuring lightning talks from Encord, a multimodal data platform for AI.  This event is perfect for AI professionals and enthusiasts looking to connect and learn about the latest in AI data management and development. Pizza provided!","GitHub, 88 Colin P Kelly Jr St, San Francisco, CA 94107, USA",California,Artificially Intelligent,"October 07, 2025",5:30 PM,"October 07, 2025",8:30 PM,Other
TEDAI San Francisco 2025,https://lu.ma/tedaisanfrancisco2025,,"Herbst Theatre, 401 Van Ness Ave, San Francisco, CA 94102, USA",California,TEDAI San Francisco,"October 21, 2025",1:00 PM,"October 22, 2025",10:00 PM,Other
ODSC WEST 2025 | The Leading AI Training Conference,https://lu.ma/sq3pugjd,,"Hyatt Regency San Francisco Airport, 1333 Old Bayshore Hwy, Burlingame, CA 94010, USA",California,ODSC (Open Data Science Conference),"October 28, 2025",9:00 AM,"October 30, 2025",5:00 PM,Other
AI Workshops at Cloudflare,https://lu.ma/r7li11we,,"Cloudflare, 101 Townsend St, San Francisco, CA 94107, USA",California,[SF] Bay Area Builders,"October 28, 2025",6:00 PM,"October 28, 2025",9:00 PM,Other
AI INFRA SUMMIT 4,https://lu.ma/aiinfra_4,,"San Francisco, CA, USA",California,Ignite Community,"October 29, 2025",8:30 AM,"October 29, 2025",5:30 PM,Other
SF Awesome AI Dev Tools - November,https://lu.ma/hpl3ukn3,,"GitHub, 88 Colin P Kelly Jr St, San Francisco, CA 94107, USA",California,Open Source for AI,"November 10, 2025",5:00 PM,"November 10, 2025",8:00 PM,Tech & AI
AI Workshops at Cloudflare,https://lu.ma/x04okonh,"Learn practical AI implementation at Cloudflare's workshops, hosted by Bay Area Builders.  These workshops are perfect for builders wanting hands-on experience with cutting-edge tech and community engagement.  Expect insightful speakers and opportunities to showcase your projects.","Cloudflare, 101 Townsend St, San Francisco, CA 94107, USA",California,[SF] Bay Area Builders,"November 12, 2025",5:00 PM,"November 12, 2025",8:00 PM,Tech & AI
[SF] AI After Hours w/ Encord @ GitHub HQ,https://lu.ma/710l9bjs,"Network with fellow AI enthusiasts and learn from industry experts at this San Francisco AI After Hours event hosted by Encord at GitHub HQ.  Enjoy lightning talks focused on AI data management and labeling, followed by networking.  Ideal for AI professionals, developers, and anyone passionate about the field.","GitHub, 88 Colin P Kelly Jr St, San Francisco, CA 94107, USA",California,Artificially Intelligent,"November 19, 2025",5:30 PM,"November 19, 2025",8:30 PM,Tech & AI
SF Awesome AI Dev Tools - December,https://lu.ma/nyc3ndx7,"Discover cutting-edge AI developer tools at the SF Awesome AI Dev Tools event (December).  The event features demos and presentations from industry experts, ideal for developers and anyone interested in the future of AI development.  Network with peers and explore the latest innovations shaping the AI landscape.","GitHub, 88 Colin P Kelly Jr St, San Francisco, CA 94107, USA",California,Open Source for AI,"December 08, 2025",5:00 PM,"December 08, 2025",8:00 PM,Tech & AI
AI Workshops at Cloudflare,https://lu.ma/9o2xzdsw,Level up your AI skills at Cloudflare's workshops hosted by Bay Area Builders!  Learn practical AI implementation and network with fellow builders.  Ideal for developers and tech enthusiasts eager to explore cutting-edge AI tools.,"Cloudflare, 101 Townsend St, San Francisco, CA 94107, USA",California,[SF] Bay Area Builders,"December 10, 2025",5:00 PM,"December 10, 2025",8:00 PM,Tech & AI
FUTURECRAFT 2035 – Showcase + Afterparty,https://lu.ma/j5pb0n1k,"FUTURECRAFT 2035 showcases six expert teams' predictions for robotics in 2035, revealing key investment opportunities and unmet market needs.  This event, ideal for founders, investors, and innovators, offers actionable foresight into the future of robotics and valuable networking opportunities.  Attendees gain strategic insights and connect with industry leaders.","Frontier Tower | Berlinhouse, 995 Market St, San Francisco, CA 94103, USA",California,Founders Bay Community,"June 24, 2025",7:00 PM,"June 24, 2025",9:00 PM,Startup & Entrepreneurship
FutureFest 2035: The Next Frontier — Summit & Alan Walker Block Party,https://lu.ma/7a6o2jhs,"FutureFest 2035 unites founders, VCs, and futurists to explore cutting-edge advancements in AI, space, longevity, and entertainment through keynotes, panels, and demos.  The day culminates in a massive Alan Walker Block Party.  Ideal for those invested in or curious about future technologies and their impact.","The Midway, 900 Marin St, San Francisco, CA 94124, USA",California,Founders Bay Community,"July 05, 2025",9:00 AM,"July 05, 2025",10:00 PM,Startup & Entrepreneurship
Hard Tech Venture Summit 2025,https://lu.ma/gj5sdn7h,"The Hard Tech Venture Summit 2025 (June 18-19, San Francisco) connects hard tech startups (seed & Series A focus) with investors, manufacturers, and the broader innovation ecosystem.  This exclusive event, co-located with a major IEEE conference, offers networking opportunities and focuses on electronics, robotics, and related fields (excluding medical devices and biosciences).  Register early for discounted rates!","San Francisco Marriott Marquis, 780 Mission St, San Francisco, CA 94103, USA",California,,"June 18, 2025",8:00 AM,"June 19, 2025",5:00 PM,Startup & Entrepreneurship
Deep Tech Week VIP Tickets,https://lu.ma/dtw2025-vip,"Gain exclusive VIP access to all Deep Tech Week events (June 23-27th), including opening/closing parties and invite-only cocktail hours.  This premium pass guarantees entry to One Beach Street events and prioritized access to others, perfect for industry leaders and tech enthusiasts seeking unparalleled networking opportunities.  Secure your VIP experience now!","San Francisco, CA, USA",California,Deep Tech Week,"June 20, 2025",12:00 PM,"June 28, 2025",11:30 PM,Networking & Community
24six9 - Running Out of Runway,https://lu.ma/dtw25-runway,"""24six9 - Running Out of Runway"" showcases founders' resilience, detailing their bootstrapping journeys and survival strategies amidst funding challenges.  This event is perfect for entrepreneurs, aspiring founders, and anyone seeking inspiration on navigating the lean startup world. Learn how to build and scale successfully with limited or no funding.","1 Beach St, San Francisco, CA 94133, USA",California,Deep Tech Week,"June 23, 2025",12:00 PM,"June 23, 2025",4:00 PM,Startup & Entrepreneurship
9Zero Member Lunch,https://lu.ma/2deds23w,,"9Zero Climate Innovation Hub, 350 California St 4th floor, San Francisco, CA 94104, USA",California,9Zero Climate Innovation Hub - San Francisco,"June 18, 2025",12:00 PM,"June 18, 2025",1:00 PM,Other
San Francisco Climate Software,https://lu.ma/87vwn4mm,"San Francisco Bay Area climate tech professionals—developers, designers, and related fields—are invited to this inaugural event to network, brainstorm future learning topics, and hear an experience report on a software-focused climate project.  The event aims to foster collaboration within the climate software community.  Join 9Zero to connect and contribute to climate action through software.","9Zero Climate Innovation Hub, 350 California St 4th floor, San Francisco, CA 94104, USA",California,SF Climate Software,"June 18, 2025",5:00 PM,"June 18, 2025",7:00 PM,Networking & Community
Statsig Community Lunch,https://lu.ma/lpk2v0wk,"This Statsig Community Lunch offers hands-on training in implementing experimentation, product analytics, and feature management using Statsig's tools.  Led by Statsig's engineering team, the workshop provides actionable strategies and best practices for product development teams.  Ideal for engineers and product managers seeking to improve their workflows.","San Francisco, CA, USA",California,Statsig Event Calendar,"July 16, 2025",11:00 AM,"July 16, 2025",2:00 PM,Tech & AI
Open-source AGI Hackathon,https://lu.ma/AGIhackathon,"An invite-only open-source AGI hackathon, fueled by AMD's H100/A100 GPUs, challenges participants to advance open-source AGI research and development.  Prizes will be awarded for projects demonstrating progress on key AGI benchmarks like ARC-AGI.  Ideal for ambitious AI builders committed to an open future for artificial general intelligence.","170 St Germain Ave, San Francisco, CA 94114, USA",California,DEMi: Democratize Intelligence,"June 28, 2025",11:00 AM,"June 29, 2025",8:00 PM,Hackathon
CMO Breakfast w/ GrowthX AI,https://lu.ma/7krui5qy,"Exclusive CMO breakfast at GrowthX HQ explores the practical application of AI for scaling businesses, focusing on strategies for optimizing growth, resource allocation, and channel selection.  The intimate setting facilitates candid discussion among industry peers on leveraging AI for increased efficiency and pipeline growth.  Ideal for CMOs seeking innovative AI-driven solutions.","95 Federal St, San Francisco, CA 94107, USA",California,GrowthX,"July 15, 2025",8:00 AM,"July 15, 2025",10:30 AM,Marketing & Branding
Pitch in person or online to CVC's/VC's/angels at SF Campus of UCB,https://lu.ma/zalmvjo8,"Pitch Global hosts a hybrid pitching event at UC Berkeley's SF campus, connecting startups with top-tier VCs, angels, and CVCs like those from IVP, Clearstone, and Samsung.  This event offers in-person and online pitching opportunities, with free registration for UC Berkeley affiliates.","160 Spear St, San Francisco, CA 94105, USA",California,Pitch Global Investor Events,"June 26, 2025",3:00 PM,"June 26, 2025",6:30 PM,Startup & Entrepreneurship
Digital Poetics Monthly Gathering #3,https://lu.ma/2lte5xm4,,"Gray Area / Grand Theater, 2665 Mission St, San Francisco, CA 94110, USA",California,tiat (the intersection of art & technology),"July 30, 2025",6:00 PM,"July 30, 2025",8:00 PM,Other
HTML Day 2025,https://lu.ma/7sgumei1,,"Alamo Square Park, Hayes St, San Francisco, CA 94117, USA",California,tiat (the intersection of art & technology),"August 02, 2025",3:00 PM,"August 02, 2025",6:00 PM,Other
HUMAN+TECH SUMMIT: Human Potential in the Age of AI,https://lu.ma/humantech,,"1 Beach St, San Francisco, CA 94133, USA",California,Aiify.io Events {+partners},"June 17, 2025",9:00 AM,"June 19, 2025",9:00 PM,Tech & AI
Bubbl Social Hotel Wing for Human Tech Week,https://lu.ma/404khdo0,"Network with AI innovators and investors at the Human Tech Week Bubbl Hotel Wing, focusing on AI's role in human wellbeing.  This shared-room stay offers pre-, during, and post-conference connection opportunities for attendees.  Ideal for founders, investors, and those shaping the future of AI for human benefit.","2500 Mason St, San Francisco, CA 94133, USA",California,Bubbl social houses for major events,"June 17, 2025",4:30 PM,"June 20, 2025",5:30 PM,Networking & Community
Human+Tech Week Grand Finalé,https://lu.ma/1khodvtx,"Celebrate the culmination of Human+Tech Week's 3-day summit with Modernist and Bios Vitalium!  This grand finale event showcases the week's breakthroughs in human-technology integration, ideal for tech enthusiasts, innovators, and industry professionals.  Join the celebration and network with leaders in the field.","Modernist, 139 Steuart St, San Francisco, CA 94105, USA",California,Modernist Venture Club,"June 19, 2025",8:00 PM,"June 19, 2025",11:00 PM,Networking & Community
AI Hack Night at GitHub,https://lu.ma/hacknight-at-github-07-08-25,"GitHub's AI Hack Night, hosted by Weaviate, lets developers explore AI agents, RAG, and related technologies through lightning talks, hands-on hacking, and community demos.  Win prizes showcasing innovative AI solutions; all skill levels welcome!  Network with peers and learn from LlamaIndex and other leading AI companies.","GitHub, 88 Colin P Kelly Jr St, San Francisco, CA 94107, USA",California,[SF] Bay Area Builders,"July 08, 2025",4:00 PM,"July 08, 2025",8:45 PM,Hackathon
SF DeepTech Week:  SpaceTech Happy Hour  (By Thruline Networks and Altair Ventures),https://lu.ma/9ic88q6g,"SF DeepTech Week's SpaceTech Happy Hour (June 24th, 5:30-8:30 PM) connects Bay Area SpaceTech professionals for networking and insightful conversations.  This exclusive event fosters partnerships and collaboration within the industry, ideal for those shaping the future of space technology.  No fluff, just impactful connections.","Omni San Francisco Hotel, 500 California St, San Francisco, CA 94104, USA",California,Thruline Networks,"June 24, 2025",5:30 PM,"June 24, 2025",8:30 PM,Networking & Community
Boost VC in the Park: SF Founder Hangout,https://lu.ma/mm4coz41,"Boost VC hosts a casual founder hangout in Dolores Park, SF, offering a relaxed networking opportunity for its portfolio companies and other founders.  Enjoy sunshine, snacks, and connection without pitches or formal agendas.  Ideal for SF-based founders and those visiting the city.","Mission Dolores Park, Dolores St &, 19th St, San Francisco, CA 94114, USA",California,,"August 14, 2025",3:00 PM,"August 14, 2025",6:00 PM,Networking & Community
Stop AI Pub Meeting San Francisco,https://lu.ma/5a6abmia,"The ""Stop AI Pub Meeting"" in San Francisco gathers concerned citizens to discuss the potential threats of AI—job displacement and existential risks—in a casual, social setting.  This informal gathering is ideal for anyone worried about AI's future impact and seeking community and discussion.  Expect lively debate and perhaps, a few pints.","Kiitos Cocktail Lounge and Sports Bar, 200 Capp St, San Francisco, CA 94110, USA",California,Stop AI Events,"June 18, 2025",6:00 PM,"June 18, 2025",8:00 PM,Networking & Community
Stop AI Pub Meeting San Francisco,https://lu.ma/7xzgmjy6,"The ""Stop AI"" San Francisco pub meeting tackles the urgent question of AI's societal impact, specifically job displacement and existential threats.  This informal gathering welcomes anyone concerned about AI's future and interested in collaborative solutions.  Join the conversation over drinks and brainstorm potential mitigations.","Kiitos Cocktail Lounge and Sports Bar, 200 Capp St, San Francisco, CA 94110, USA",California,Stop AI Events,"June 25, 2025",6:00 PM,"June 25, 2025",8:00 PM,Networking & Community
Stop AI Pub Meeting San Fransisco,https://lu.ma/46oelqb5,A San Francisco pub meeting tackling the urgent question of AI's societal impact—job displacement and existential threats.  Informal discussion for anyone concerned about the future of work and humanity in the age of artificial intelligence.  Join the conversation and explore solutions over drinks.,"Kiitos Cocktail Lounge and Sports Bar, 200 Capp St, San Francisco, CA 94110, USA",California,Stop AI Events,"July 02, 2025",6:00 PM,"July 02, 2025",8:00 PM,Tech & AI
SF UIUC Alumni Happy Hour 🧡,https://lu.ma/xgkn4f2k,"Connect with fellow UIUC alumni shaping the Bay Area's tech scene at an exclusive, invite-only happy hour.  This curated gathering welcomes  graduates, current students, and accomplished alumni across tech, startups, and investing.  No +1s.","144 2nd St, San Francisco, CA 94105, USA",California,,"June 17, 2025",5:00 PM,"June 17, 2025",7:00 PM,Networking & Community
Security Founders Lunch,https://lu.ma/xk2ww5zm,,"International Smoke, 301 Mission St, San Francisco, CA 94105, USA",California,,"June 25, 2025",12:00 PM,"June 25, 2025",2:00 PM,Other
Human + AI Leadership Retreat,https://lu.ma/7f7nt2vv,,"1 Beach St, San Francisco, CA 94133, USA",California,HealthTech Week (by Aiify.io),"June 17, 2025",10:30 AM,"June 17, 2025",7:00 PM,Other
LAZER FRYDAYS: Laser Cutter Training,https://lu.ma/b4e6s11z,"Master a powerful 130W Monport laser cutter at General Lithium's free (members) LAZER FRYDAYS training.  Learn safe operation, file preparation, material compatibility, and precision cutting techniques. Ideal for makers and designers of all levels seeking hands-on experience.","1338 Mission St, San Francisco, CA 94103, USA",California,Frontier Makerspace,"June 20, 2025",3:00 PM,"June 20, 2025",7:00 PM,Career & Skills
LAZER FRYDAYS: Laser Cutter Training,https://lu.ma/2nf1wfjx,"Master a 130W Monport laser cutter at General Lithium's free (members) / donation-based (non-members) Friday 2 PM training.  Learn safe operation, file preparation, material compatibility, and precision cutting/engraving techniques. Ideal for makers and designers of all skill levels wanting to unlock laser cutting's creative potential.","1338 Mission St, San Francisco, CA 94103, USA",California,Frontier Makerspace,"June 27, 2025",3:00 PM,"June 27, 2025",7:00 PM,Career & Skills
EdgeAI and On-Device ML Developer Networking at General Lithium,https://lu.ma/131wvw1j,"Network with fellow developers building edge AI and on-device ML solutions at General Lithium.  This event focuses on constrained AI, LLMs, and forward-deployed applications.  Ideal for developers seeking collaboration and exploring how General Lithium's resources can accelerate their projects.","1338 Mission St, San Francisco, CA 94103, USA",California,Frontier Makerspace,"July 01, 2025",5:30 PM,"July 01, 2025",7:00 PM,Tech & AI
VC Panels & Happy Hour  | June 2025| San Francisco,https://lu.ma/u1d9smit,Learn winning VC strategies for 2025 at this San Francisco event featuring fireside chats with Lowercarbon Capital and a panel on early-stage investing from Creative Ventures and Vertex Ventures.  Network with top investors at the post-event happy hour.  Ideal for founders and those seeking venture capital.,"Zo House, 300 4th St, San Francisco, CA 94107, USA",California,Tech Weekend by Founders Village,"June 27, 2025",2:30 PM,"June 27, 2025",7:00 PM,Finance & Business
VC Panels & Pitch Competition | June 2025 | San Francisco,https://lu.ma/9ryao423,"This San Francisco event connects early-stage tech founders with top VCs through panels, a pitch competition (applications due June 22nd), and networking.  Focus is on 2025 investment trends in AI, deep tech, and other frontier sectors. Ideal for founders seeking funding and keen to build investor connections.","Zo House, 300 4th St, San Francisco, CA 94107, USA",California,Tech Weekend by Founders Village,"June 28, 2025",12:00 PM,"June 28, 2025",7:00 PM,Startup & Entrepreneurship
AI Grid Tech Coffee Meetup,https://lu.ma/n8ac3c4x,"The AI Grid Tech Coffee Meetup fosters collaboration among Bay Area energy and AI/ML professionals, focusing on practical AI applications within the power grid through informal, peer-led discussions.  No presentations, just open dialogue for those leveraging AI in the energy industry.  Prior registration and approval are required for this exclusive, invite-only event.","9Zero Climate Innovation Hub, 350 California St 4th floor, San Francisco, CA 94104, USA",California,Integ Utility Intelligence,"July 10, 2025",9:00 AM,"July 10, 2025",10:00 AM,Networking & Community
AI Grid Tech Coffee Meetup,https://lu.ma/tlm34ejf,"The AI Grid Tech Coffee Meetup fosters collaboration among Bay Area energy and AI/ML professionals, facilitating informal discussions on practical AI applications within the power grid.  This bi-weekly event prioritizes peer-to-peer learning and problem-solving, excluding formal presentations or sales pitches.  Ideal for those leveraging AI in the energy industry or seeking to connect with like-minded innovators.","9Zero Climate Innovation Hub, 350 California St 4th floor, San Francisco, CA 94104, USA",California,Integ Utility Intelligence,"July 24, 2025",9:00 AM,"July 24, 2025",10:00 AM,Networking & Community
